0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
,,,Other accommodation  services,Other accommodation  services,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Food and beverage serving  activities,Food and beverage serving  activities,Thousands,,..,..,..,..,..,..,..,..,..,..,580.3,559.0,590.0,607.4,638.3,167.7,173.8,176.1,182.3,165.6,181.4,191.3,202.4,212.7,216.1,205.8,198.4,
,,,Passenger transportation,Passenger transportation,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55.6,56.4,63.4,61.1,61.9,62.0,62.6,64.5,69.1,73.2,71.1,56.0,
,,,Travel agencies and other  reservation services activities,Travel agencies and other  reservation services activities,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.1,31.2,39.2,38.2,38.0,40.4,38.3,41.9,43.7,45.0,42.6,31.3,
,,,Other tourism industries,Other tourism industries,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,187.7,192.6,191.6,193.2,198.4,207.6,217.4,221.5,240.5,256.5,242.1,158.5,
AUSTRIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Number of employees by  tourism industries,Number of employees by  tourism industries,Number of employees by  tourism industries,Number of employees by  tourism industries,,1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Tourism Satellite Account  (TSA) data.
,,Total,Total,,Thousands,,..,..,..,..,..,..,..,..,206.4,206.4,207.7,..,214.6,245.2,243.3,252.9,254.0,262.0,270.5,..,..,..,..,199.3,205.7,137.7,..,
,,,Accommodation services  for visitors (hotels and similar establishments),Accommodation services  for visitors (hotels and similar establishments),Thousands,,..,..,..,..,..,..,..,..,57.9,58.4,59.1,..,60.5,61.2,56.6,58.7,58.4,61.6,63.8,..,..,..,..,130.6,134.7,102.5,..,
,,,Other accommodation  services,Other accommodation  services,Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,,Food and beverage serving  activities,Food and beverage serving  activities,Thousands,,..,..,..,..,..,..,..,..,71.8,74.1,76.7,..,79.6,88.7,82.9,87.1,88.3,95.3,99.1,..,..,..,..,..,..,..,..,
,,,Passenger transportation,Passenger transportation,Thousands,,..,..,..,..,..,..,..,..,38.4,35.0,29.0,..,31.6,47.1,53.8,52.8,54.7,53.4,54.1,..,..,..,..,34.5,35.7,12.1,..,
,,,Travel agencies and other  reservation services activities,Travel agencies and other  reservation services activities,Thousands,,..,..,..,..,..,..,..,..,26.2,26.5,29.4,..,29.9,30.3,30.5,30.2,30.6,31.6,32.8,..,..,..,..,11.5,11.9,10.8,..,
,,,Other tourism industries,Other tourism industries,Thousands,,..,..,..,..,..,..,..,..,12.1,12.4,13.5,..,13.0,17.9,19.5,24.1,22.0,20.1,20.7,..,..,..,..,22.7,23.4,12.3,..,
AZERBAIJAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Number of employees by  tourism industries,Number of employees by  tourism industries,Number of employees by  tourism industries,Number of employees by  tourism industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
